gene,beta1,beta2,eigenvalue_modulus,r2,root_type,category
Nck2,0.096983,-0.195687,0.4424,0.0464,complex,other
1500015O10Rik,0.058887,0.183559,0.4589,0.0403,real,other
Tpp2,-0.276386,0.374813,0.7658,0.3201,real,other
Bivm,0.242808,0.218230,0.6041,0.1599,real,other
Ercc5,0.411925,0.054716,0.5176,0.1454,real,other
Gulp1,0.056514,0.077583,0.3082,0.0076,real,other
Col3a1,0.505494,-0.187741,0.4333,0.2088,complex,other
Wdr75,-0.272477,0.008510,0.3008,0.0653,real,other
Rpl23a,0.304711,0.000329,0.3058,0.0911,real,other
Dnah7b,-0.063246,0.150408,0.4207,0.0209,real,other
Dnah7c,0.185295,-0.146435,0.3827,0.0480,complex,other
Tmeff2,0.078907,0.173392,0.4577,0.0389,real,other
Sdpr,-0.218938,0.371959,0.7291,0.2449,real,other
Stat4,-0.179060,-0.327871,0.5726,0.1259,complex,other
Stat1,0.059054,0.226903,0.5068,0.0477,real,immune
Tmem194b,-0.378590,-0.189909,0.4358,0.1332,complex,other
Hibch,0.015973,0.410181,0.6485,0.1393,real,other
Mstn,-0.026239,0.196557,0.4567,0.0373,real,other
Ormdl1,0.042790,0.345009,0.6092,0.1164,real,other
Osgepl1,-0.079109,0.404478,0.6768,0.1353,real,other
Ccdc150,-0.320491,-0.039575,0.1989,0.0942,complex,other
Coq10b,1.142268,-0.557284,0.7465,0.6768,complex,other
Hspe1,0.772254,-0.204070,0.4517,0.4166,complex,other
Mob4,-0.271306,0.049783,0.3968,0.0800,real,other
Gm10561,0.431365,-0.051916,0.2279,0.1763,complex,other
Mars2,0.148557,-0.097276,0.3119,0.0234,complex,other
Plcl1,-0.102265,0.126780,0.4108,0.0283,real,other
1700066M21Rik,0.006594,0.143478,0.3821,0.0145,real,other
9430016H08Rik,-0.104540,0.194744,0.4967,0.0538,real,other
Spats2l,0.245766,-0.312469,0.5590,0.1274,complex,other
Sgol2a,-0.081927,0.187134,0.4755,0.0381,real,other
Aox1,0.006040,-0.033201,0.1822,0.0008,complex,other
Aox3,0.443597,0.066119,0.5614,0.1679,real,other
Aox4,-0.501482,-0.112511,0.3354,0.2137,complex,other
Aox2,-0.432257,0.048728,0.5251,0.2107,real,other
Bzw1,-0.086028,0.209880,0.5032,0.0534,real,other
Nif3l1,0.129540,0.119894,0.4170,0.0339,real,other
Ndufb3,0.565387,-0.043987,0.4722,0.2912,real,other
Cbx3,0.153145,-0.113421,0.3368,0.0288,complex,other
Cflar,-0.159031,0.036549,0.2866,0.0275,real,other
Casp8,0.148130,0.432457,0.7358,0.2540,real,other
Stradb,-0.120761,0.290223,0.6025,0.1052,real,other
G730003C15Rik,0.165894,-0.230686,0.4803,0.0501,complex,other
