gene,beta1,beta2,eigenvalue_modulus,r2,root_type,category
1700113H08Rik,0.327988,-0.075127,0.2741,0.0875,complex,other
Gm10764,-0.076888,-0.085261,0.2920,0.0051,complex,other
Pah,0.561917,-0.037588,0.4843,0.3006,real,other
Igf1,0.521328,-0.179529,0.4237,0.2283,complex,other
Tyms-ps,-0.272087,-0.070423,0.2654,0.0467,complex,other
Pmch,-0.015983,0.262512,0.5204,0.0684,real,other
Nup37,0.298351,0.235722,0.6571,0.1924,real,other
Ccdc53,0.310789,0.214014,0.6434,0.1778,real,other
Gnptab,-0.225837,0.173455,0.5444,0.0967,real,other
Sycp3,0.483166,-0.091362,0.3023,0.1999,complex,other
Arl1,-0.220707,-0.029699,0.1723,0.0458,complex,other
Slc5a8,-0.149283,0.211150,0.5402,0.0785,real,other
Uhrf1bp1l,-0.018598,0.302379,0.5593,0.0938,real,other
Anks1b,0.089141,0.254734,0.5512,0.0779,real,other
Ikbip,-0.222083,0.137130,0.4976,0.0818,real,other
Cdk17,0.471530,0.115549,0.6494,0.3048,real,other
Lta4h,0.112719,0.469518,0.7439,0.2605,real,other
Hal,1.150992,-0.559699,0.7481,0.6792,complex,other
Ccdc38,0.036593,-0.409593,0.6400,0.1562,complex,other
4933408J17Rik,0.174921,-0.295141,0.5433,0.0997,complex,other
Ntn4,0.014854,0.251745,0.5092,0.0633,real,other
Usp44,-0.232738,-0.176391,0.4200,0.0693,complex,other
Fgd6,0.080595,0.045592,0.2576,0.0082,real,other
Nr2c1,-0.110334,-0.105662,0.3251,0.0183,complex,other
Ndufa12,0.092685,0.023875,0.2077,0.0040,real,other
Tmcc3,0.180113,0.058233,0.3476,0.0381,real,other
Cep83,-0.088107,0.083003,0.3355,0.0151,real,other
Ube2n,0.179319,0.179445,0.5227,0.0719,real,other
4732465J04Rik,0.382061,0.288392,0.7610,0.3659,real,other
Eea1,-0.132255,0.291848,0.6104,0.1064,real,other
Btg1,0.590684,0.014459,0.6142,0.3970,real,other
Dcn,-0.189217,0.264187,0.6172,0.1032,real,other
Lum,-0.475520,0.276935,0.8152,0.3927,real,other
Kera,-0.070974,0.105932,0.3629,0.0167,real,other
Epyc,0.024723,0.099729,0.3284,0.0094,real,other
Ccer1,0.094252,0.293196,0.5906,0.1001,real,other
Atp2b1,-0.123283,0.277099,0.5916,0.1023,real,other
Poc1b,0.054035,0.287395,0.5638,0.0828,real,other
Galnt4,0.314980,0.113046,0.5288,0.1384,real,other
Dusp6,-0.005949,0.165941,0.4103,0.0263,real,other
B530045E10Rik,-0.382336,0.366026,0.8257,0.4477,real,other
Kitl,0.251769,0.316088,0.7020,0.1951,real,other
Cep290,0.223963,-0.271740,0.5213,0.1030,complex,other
1700017N19Rik,-0.454621,-0.224264,0.4736,0.1814,complex,other
Mgat4c,-0.250373,-0.005561,0.2257,0.0612,real,other
Slc6a15,-0.000678,0.246291,0.4966,0.0575,real,other
Ccdc59,0.057023,0.294857,0.5723,0.0949,real,other
Ppfia2,-0.074094,-0.006493,0.0806,0.0050,complex,other
Lin7a,-0.450050,-0.185565,0.4308,0.1816,complex,other
Ppp1r12a,0.036859,0.220399,0.4883,0.0462,real,other
Pawr,0.002215,0.262876,0.5138,0.0690,real,other
E2f7,-0.058324,-0.032067,0.1791,-0.0027,complex,other
Csrp2,0.188972,0.277360,0.6295,0.1399,real,other
Osbpl8,-0.266310,0.090576,0.4623,0.0901,real,other
Bbs10,0.483988,0.034465,0.5470,0.3249,real,other
Nap1l1,0.334206,0.144767,0.5827,0.1829,real,other
Gm5176,0.226146,0.010549,0.2658,0.0504,real,other
Phlda1,-0.227915,0.199768,0.5752,0.1107,real,other
Krr1,-0.291254,0.308048,0.7194,0.2672,real,other
Glipr1l1,-0.149582,0.017804,0.2278,0.0210,real,other
Glipr1l2,-0.152055,0.155654,0.4778,0.0565,real,other
Caps2,-0.187879,0.320085,0.6674,0.1708,real,other
Kcnc2,-0.067710,0.081397,0.3212,0.0087,real,other
Gm26596,0.057087,-0.087089,0.2951,0.0054,complex,other
Gm10752,-0.309776,-0.034080,0.1846,0.0867,complex,other
Zfc3h1,0.114725,0.137539,0.4326,0.0243,real,other
Tspan8,0.545446,-0.368221,0.6068,0.2551,complex,other
Ptprr,-0.429616,0.177850,0.6881,0.2864,real,other
Ptprb,0.218515,0.294212,0.6626,0.1558,real,other
Kcnmb4os1,-0.098319,0.116351,0.3938,0.0259,real,other
Kcnmb4os2,-0.328753,-0.514353,0.7172,0.2920,complex,other
5330438D12Rik,-0.239023,-0.408563,0.6392,0.1846,complex,other
D630029K05Rik,-0.045915,-0.201778,0.4492,0.0386,complex,other
Best3,-0.221687,0.137537,0.4979,0.0774,real,other
Gm10747,-0.447637,0.140731,0.6607,0.2874,real,other
Lrrc10,0.147963,-0.373301,0.6110,0.1100,complex,other
Cpm,-0.129551,0.035642,0.2644,0.0067,real,other
Mdm1,0.458649,-0.061120,0.2472,0.1895,complex,other
Cdc5l,0.353886,-0.062091,0.2492,0.1009,complex,other
Ifng,-0.204960,0.060464,0.3689,0.0270,real,immune
4932442E05Rik,-0.167869,-0.082105,0.2865,0.0303,complex,other
Grip1,-0.369948,0.028716,0.4358,0.1435,real,other
Tmbim4,0.474656,0.040459,0.5484,0.2375,real,other
Llph,0.507213,-0.056716,0.3408,0.2256,real,other
1700006J14Rik,-0.112725,0.447747,0.7279,0.2208,real,other
4921513I03Rik,-0.161089,-0.163422,0.4043,0.0451,complex,other
Wif1,-0.232416,0.338938,0.7099,0.1853,real,other
Gns,0.475900,0.163937,0.7076,0.3464,real,other
D930020B18Rik,0.366023,0.001155,0.3692,0.1359,real,other
BC048403,0.040829,0.343681,0.6070,0.1247,real,other
Avpr1a,0.991076,-0.284439,0.5333,0.6337,complex,other
Ppm1h,-0.299787,0.241706,0.6639,0.2254,real,other
Fam19a2,-0.251056,-0.074627,0.2732,0.0639,complex,other
4930503E24Rik,-0.231260,-0.363087,0.6026,0.1613,complex,other
Lrig3,-0.093111,0.340671,0.6321,0.1332,real,other
Ctdsp2,0.282217,0.181535,0.5899,0.1405,real,other
Avil,-0.120449,-0.228034,0.4775,0.0503,complex,other
Mettl1,0.179557,0.367571,0.7027,0.2003,real,other
Cyp27b1,-0.201837,-0.309447,0.5563,0.1082,complex,other
Cdk4,-0.207850,0.161847,0.5194,0.0855,real,other
Agap2,0.665293,-0.219868,0.4689,0.3225,complex,other
Gm16491,0.454176,-0.023283,0.3953,0.1814,real,other
B4galnt1,0.398213,-0.015495,0.3545,0.1449,real,other
F420014N23Rik,-0.084841,0.079215,0.3271,0.0125,real,other
Dctn2,0.049784,0.412636,0.6677,0.2093,real,other
Ddit3,-0.179705,0.118101,0.4451,0.0519,real,other
Arhgap9,-0.127729,0.049405,0.2951,0.0187,real,other
R3hdm2,0.202142,0.115867,0.4562,0.0613,real,other
Stac3,0.097127,0.154300,0.4444,0.0335,real,other
Ndufa4l2,-0.086778,-0.221029,0.4701,0.0443,complex,other
Stat6,-0.207618,0.178874,0.5393,0.1022,real,other
Tmem194,0.249194,0.122389,0.4960,0.0891,real,other
Myo1a,0.192555,0.212822,0.5675,0.1014,real,other
Tac2,-0.429971,0.253528,0.7625,0.3761,real,other
Zbtb39,-0.316300,0.059050,0.4481,0.1158,real,other
Rdh1,-0.079614,-0.171896,0.4146,0.0304,complex,other
Rdh9,0.467635,0.033710,0.5311,0.2347,real,other
Rdh16,0.110538,0.054459,0.2951,0.0140,real,other
Rdh18-ps,0.147536,-0.165317,0.4066,0.0199,complex,other
Rdh19,0.165958,0.074423,0.3681,0.0364,real,other
BC089597,-0.111382,-0.179872,0.4241,0.0394,complex,other
Sdr9c7,0.920767,-0.246748,0.4967,0.6127,complex,other
Snrpd2,-0.106106,0.394840,0.6837,0.1825,real,other
Prim1,0.775775,-0.114872,0.5765,0.4903,real,other
Naca,0.326388,0.080228,0.4901,0.1307,real,other
Ptges3,0.209931,0.074373,0.3972,0.0523,real,other
Atp5b,-0.018355,0.363595,0.6122,0.1297,real,other
Mir677,-0.062386,0.306798,0.5860,0.0917,real,other
Baz2a,-0.162210,0.333582,0.6643,0.1522,real,other
Gls2,0.364334,-0.298701,0.5465,0.1497,complex,other
Mip,-0.276307,0.093455,0.4736,0.1039,real,other
Timeless,-0.104088,-0.182033,0.4267,0.0388,complex,other
Apon,0.773665,-0.084192,0.6427,0.5186,real,other
Apof,0.487973,0.003614,0.4953,0.2372,real,other
Stat2,0.729969,-0.168457,0.4104,0.3756,complex,other
Pan2,0.174080,0.330565,0.6685,0.1520,real,other
Cnpy2,-0.193680,0.511051,0.8182,0.3370,real,other
Ankrd52,-0.038808,0.290851,0.5591,0.0863,real,other
Rnf41,-0.181625,0.489963,0.7967,0.3346,real,other
Smarcc2,0.264760,0.302812,0.6984,0.2370,real,other
Pmel,-0.593786,-0.318529,0.5644,0.2728,complex,other
Pym1,0.322820,0.153587,0.5853,0.1877,real,other
Mmp19,0.645872,-0.063828,0.5241,0.3606,real,other
Dnajc14,0.367432,0.190973,0.6578,0.2249,real,other
Sarnp,0.339530,0.210702,0.6592,0.2258,real,other
Cd63,-0.456057,0.068691,0.5754,0.2385,real,other
Itga7,0.117898,0.150053,0.4508,0.0399,real,other
Olfr9,0.495424,-0.174826,0.4181,0.1836,complex,other
Olfr763,-0.270186,0.013732,0.3139,0.0735,real,other
Olfr774,-0.178292,0.463263,0.7756,0.2943,real,other
Olfr775,-0.212966,0.058910,0.3715,0.0540,real,other
Olfr776,-0.104088,0.089999,0.3565,0.0195,real,other
Olfr780,-0.126793,-0.005259,0.0725,0.0135,complex,other
Olfr781,-0.034160,0.247296,0.5147,0.0618,real,other
Olfr784,-0.187978,0.071059,0.3766,0.0433,real,other
Olfr786,-0.127645,0.109955,0.4015,0.0317,real,other
Olfr787,-0.191359,-0.151487,0.3892,0.0501,complex,other
Olfr788,-0.089944,0.063923,0.3018,0.0121,real,other
Olfr790,-0.069461,0.057603,0.2772,0.0076,real,other
Olfr791,-0.022390,-0.029068,0.1705,-0.0000,complex,other
Olfr792,-0.107602,0.143363,0.4362,0.0348,real,other
Olfr794,-0.270286,0.267109,0.6693,0.1972,real,other
Olfr799,-0.099297,-0.002535,0.0504,0.0089,complex,other
Olfr804,-0.219159,-0.158931,0.3987,0.0482,complex,other
Olfr808,-0.083815,0.146973,0.4276,0.0302,real,other
Olfr809,-0.070739,-0.162422,0.4030,0.0299,complex,other
Olfr813,-0.065642,0.291374,0.5736,0.0940,real,other
Olfr820,-0.047146,-0.030144,0.1736,0.0023,complex,other
Olfr821,-0.027366,0.029534,0.1861,0.0010,real,other
Olfr822,-0.115710,0.175049,0.4802,0.0491,real,other
Tespa1,0.138422,-0.200606,0.4479,0.0433,complex,other
Oprm1,-0.462434,-0.014337,0.4290,0.2108,real,other
Vip,0.185933,0.114596,0.4440,0.0558,real,other
Myct1,-0.360697,0.214976,0.6778,0.2449,real,other
Gm10097,-0.475858,-0.020729,0.4274,0.2258,real,other
Esr1,0.919714,-0.297397,0.5453,0.5134,complex,other
Ccdc170,-0.015205,0.277525,0.5345,0.0772,real,other
Armt1,0.064911,0.205196,0.4866,0.0473,real,other
Akap12,-0.110454,-0.439207,0.6627,0.1900,complex,other
Mthfd1l,0.526360,-0.049957,0.4021,0.2488,real,other
Plekhg1,-0.087133,0.456144,0.7204,0.2065,real,other
Iyd,0.147104,0.204369,0.5316,0.0760,real,other
Ppp1r14c,0.319887,-0.161094,0.4014,0.1204,complex,other
9230019H11Rik,-0.093551,0.130054,0.4104,0.0244,real,other
Ginm1,0.019474,0.322754,0.5779,0.1059,real,other
6530403G13Rik,-0.087192,0.027136,0.2140,0.0077,real,other
Tab2,0.947442,-0.228197,0.4777,0.6671,complex,other
Ust,-0.201837,0.070167,0.3844,0.0620,real,other
Gm9930,0.139565,-0.072432,0.2691,0.0216,complex,other
Samd5,-0.342353,0.228872,0.6793,0.2283,real,other
Stxbp5,-0.198250,0.207571,0.5654,0.0969,real,other
Adgb,0.407082,-0.047734,0.2185,0.1877,complex,other
Rab32,0.810001,-0.148716,0.5287,0.5178,real,other
Grm1,-0.055334,0.393409,0.6555,0.1631,real,other
Utrn,-0.127311,0.478215,0.7581,0.2741,real,other
Stx11,-0.160747,0.443790,0.7514,0.1934,real,other
Zc2hc1b,0.312347,-0.078336,0.2799,0.0899,complex,other
Ltv1,-0.326874,0.160325,0.5959,0.1642,real,other
Phactr2,-0.187609,0.152982,0.4960,0.0659,real,other
Pex3,0.000176,0.451103,0.6717,0.2136,real,other
Aig1,0.084565,0.099912,0.3612,0.0144,real,other
Adgrg6,0.165672,-0.386749,0.6219,0.1276,complex,other
Vta1,0.628234,-0.311398,0.5580,0.3012,complex,other
Gje1,-0.043757,0.158660,0.4208,0.0264,real,other
Hspa8,0.592170,-0.286709,0.5355,0.2878,complex,other
Heca,0.304786,0.193118,0.6175,0.1566,real,other
Ect2l,-0.140813,0.442562,0.7394,0.2422,real,other
Ccdc28a,0.512246,-0.063886,0.2975,0.2424,real,other
Hebp2,0.139601,-0.022079,0.1486,0.0173,complex,other
Arfgef3,-0.049401,-0.171541,0.4142,0.0217,complex,other
Gm4922,-0.018382,0.044248,0.2197,-0.0022,real,other
Tnfaip3,-0.047283,-0.105892,0.3254,0.0119,complex,other
Slc35d3,0.113114,0.110590,0.3939,0.0258,real,other
Pex7,0.078104,0.136813,0.4110,0.0246,real,other
4933406P04Rik,0.077681,0.202744,0.4908,0.0497,real,other
Pde7b,0.070894,0.357198,0.6342,0.1354,real,other
Gm10826,-0.168866,0.315818,0.6527,0.1432,real,other
4930444G20Rik,0.067623,0.004777,0.1108,-0.0007,real,other
E030030I06Rik,-0.052984,0.091288,0.3298,-0.0094,real,other
Ube2q2,0.047689,0.285014,0.5582,0.0892,real,other
Tbpl1,-0.123805,0.256876,0.5725,0.0944,real,other
Tcf21,-0.289530,-0.152146,0.3901,0.0844,complex,other
Eya4,-0.077424,0.314471,0.6008,0.1092,real,other
Rps12,0.296386,0.075560,0.4605,0.1074,real,other
Snora33,-0.372986,0.295375,0.7611,0.3387,real,other
Taar6,0.075266,-0.005527,0.0743,0.0056,complex,other
Taar8b,-0.173668,-0.171327,0.4139,0.0501,complex,other
Taar8c,-0.010631,-0.108475,0.3294,0.0094,complex,other
Taar9,-0.189312,-0.066500,0.2579,0.0345,complex,other
Enpp1,0.488165,0.165063,0.7180,0.3507,real,other
Enpp3,1.110637,-0.567014,0.7530,0.6629,complex,other
Arg1,0.602530,-0.255617,0.5056,0.2823,complex,other
Akap7,-0.242321,0.137013,0.5106,0.0903,real,other
Tmem200a,-0.254395,-0.073245,0.2706,0.0610,complex,other
L3mbtl3,0.258032,0.094017,0.4617,0.0783,real,other
Lama2,-0.003449,-0.138362,0.3720,0.0183,complex,other
4930519F09Rik,-0.270681,-0.179396,0.4236,0.0884,complex,other
Gm9996,-0.203985,0.011096,0.2486,0.0455,real,other
Rnf146,-0.013652,0.307924,0.5618,0.0901,real,other
Rspo3,0.344874,0.035369,0.4276,0.1289,real,other
Cenpw,-0.402902,-0.163214,0.4040,0.1444,complex,other
Trmt11,-0.136547,0.307122,0.6266,0.1529,real,other
Hint3,0.284572,0.286417,0.6961,0.2469,real,other
Ncoa7,-0.334322,-0.280658,0.5298,0.1356,complex,other
Tpd52l1,0.308652,0.032048,0.3907,0.1000,real,other
Rnf217,-0.290638,0.096913,0.4889,0.1370,real,other
Nkain2,-0.127634,0.441483,0.7313,0.2164,real,other
Clvs2,-0.039447,0.289331,0.5580,0.0846,real,other
Sult3a2,-0.040407,0.037713,0.2155,0.0015,real,other
Zufsp,-0.180336,0.182834,0.5272,0.0861,real,other
Rwdd1,0.119082,0.146439,0.4468,0.0402,real,other
Fam26e,-0.029259,0.076022,0.2907,0.0035,real,other
Fam26f,0.129435,-0.136304,0.3692,0.0264,complex,other
Dse,-0.006096,0.354026,0.5981,0.1258,real,other
Nt5dc1,0.111266,0.422402,0.7079,0.1880,real,other
Marcks,-0.124313,0.573024,0.8217,0.3512,real,other
Rfpl4b,-0.300251,0.092667,0.4895,0.0947,real,other
Fam229b,-0.127869,-0.139556,0.3736,0.0318,complex,other
Wisp3,0.223164,-0.223213,0.4725,0.0727,complex,other
Mfsd4b2,-0.196066,0.415072,0.7497,0.2632,real,other
Mfsd4b3,0.834391,-0.268918,0.5186,0.4735,complex,other
Mfsd4b5,0.003424,-0.036677,0.1915,-0.0001,complex,other
Mfsd4b1,-0.122811,0.201327,0.5143,0.0586,real,other
Slc16a10,0.112167,-0.109625,0.3311,0.0200,complex,other
Rpf2,-0.014159,0.357969,0.6054,0.1281,real,other
Gtf3c6,0.128736,0.299233,0.6152,0.1100,real,other
Cdk19os,-0.059818,-0.194452,0.4410,0.0353,complex,other
Cdc40,0.066796,0.168002,0.4446,0.0216,real,other
Gpr6,-0.269705,0.127635,0.5167,0.1050,real,other
Fig4,-0.101294,0.577796,0.8125,0.3450,real,other
Smpd2,-0.155699,0.371725,0.6925,0.1923,real,other
Ccdc162,0.241614,0.007215,0.2685,0.0510,real,other
Cep57l1,0.424362,0.024471,0.4758,0.1815,real,other
Armc2,0.025089,0.233990,0.4964,0.0532,real,other
Foxo3,0.258930,0.233894,0.6301,0.1647,real,other
Lace1,0.175800,0.390812,0.7192,0.2260,real,other
Nr2e1,-0.082954,0.421822,0.6923,0.1842,real,other
Sobp,-0.108405,-0.267538,0.5172,0.0733,complex,other
Rpl41,0.128120,-0.052872,0.2299,0.0185,complex,other
1700021F05Rik,-0.367283,0.426405,0.8620,0.5185,real,other
Qrsl1,-0.154901,0.353618,0.6771,0.1747,real,other
Prdm1,-0.435184,-0.033823,0.3339,0.1703,real,other
Lin28b,0.003362,0.351079,0.5942,0.1249,real,other
C130030K03Rik,-0.111441,0.053594,0.2938,0.0156,real,other
Grik2,0.022760,0.028611,0.1809,-0.0011,real,other
Fam162b,0.154104,-0.097475,0.3122,0.0273,complex,other
Gprc6a,-0.277222,0.324253,0.7247,0.2540,real,other
4933411G06Rik,-0.281226,-0.128553,0.3585,0.0790,complex,other
Ros1,-0.041187,0.385101,0.6415,0.1509,real,other
Gopc,-0.247395,0.018578,0.3078,0.0665,real,other
Zfa-ps,-0.038419,0.394371,0.6475,0.1532,real,other
Cep85l,0.192479,-0.022040,0.1485,0.0352,complex,other
Mcm9,0.174477,0.053118,0.3337,0.0363,real,other
Fam184a,0.180711,0.017373,0.2502,0.0343,real,other
Man1a,0.472151,0.038286,0.5427,0.2379,real,other
9530009G21Rik,-0.157412,0.352895,0.6779,0.1661,real,other
Tbc1d32,0.322746,0.431618,0.8379,0.3382,real,other
Rps8,0.146701,0.109539,0.4123,0.0332,real,other
Serinc1,0.183259,0.243298,0.5933,0.1161,real,other
Gm4981,0.272575,-0.432090,0.6573,0.1714,complex,other
Gm9919,0.218688,-0.139129,0.3730,-0.0181,complex,other
Edar,-0.294944,0.123157,0.5281,0.1148,real,other
Sept10,0.081323,0.413025,0.6846,0.1428,real,other
Oit3,0.065541,0.283267,0.5660,0.0803,real,other
Mcu,0.547059,0.104394,0.6969,0.3696,real,other
Ddit4,0.374052,0.086689,0.5358,0.1736,real,other
Anapc16,0.294463,0.253834,0.6721,0.2169,real,other
Chst3,-0.034864,-0.423409,0.6507,0.1245,complex,other
Cdh23,-0.192831,-0.032540,0.1804,0.0348,complex,other
Slc29a3,0.141331,0.309764,0.6317,0.1290,real,other
Unc5b,0.005307,0.059713,0.2470,0.0013,real,other
Pldi,-0.312982,0.268759,0.6980,0.2059,real,other
Sgpl1,0.840607,-0.296489,0.5445,0.4453,complex,other
Adamts14,0.019002,-0.062083,0.2492,0.0025,complex,other
Pald1,0.018600,0.142187,0.3865,0.0186,real,other
Eif4ebp2,0.290989,-0.349947,0.5916,0.1810,complex,other
D830039M14Rik,0.374273,-0.129282,0.3596,0.1268,complex,other
H2afy2,-0.151901,0.066793,0.3453,0.0148,real,other
Col13a1,-0.175746,-0.128393,0.3583,0.0394,complex,other
2010107G23Rik,0.265261,-0.080648,0.2840,0.0650,complex,other
Tspan15,-0.005407,0.324118,0.5720,0.1143,real,other
Hk1,-0.166465,-0.122922,0.3506,0.0322,complex,other
Hkdc1,-0.136806,-0.000288,0.1347,0.0159,real,other
Supv3l1,-0.516484,0.334310,0.8915,0.6101,real,other
Vps26a,0.201346,0.129869,0.4748,0.0637,real,other
Srgn,0.336089,0.177828,0.6220,0.1880,real,other
Kif1bp,0.171747,0.292055,0.6331,0.1380,real,other
Ddx21,-0.052729,0.030286,0.2024,-0.0131,real,other
Ddx50,0.135492,0.063521,0.3287,0.0247,real,other
Stox1,0.211044,-0.393993,0.6277,0.1654,complex,other
Ccar1,-0.417321,0.028371,0.4768,0.1893,real,other
Tet1,0.031844,0.258088,0.5242,0.0621,real,chromatin
Mypn,-0.423815,-0.448702,0.6699,0.2501,complex,other
1700120B22Rik,0.364404,-0.244902,0.4949,0.1742,complex,other
Sirt1,0.053390,0.287134,0.5632,0.0848,real,target
Gm10118,-0.391680,-0.371048,0.6091,0.2018,complex,other
Lrrtm3,0.643710,-0.352085,0.5934,0.3124,complex,other
Nrbf2,-0.325927,0.077021,0.4848,0.1231,real,other
Ado,0.154291,0.163661,0.4890,0.0584,real,other
Zfp365,-0.084661,0.137586,0.4157,0.0267,real,other
Arid5b,-0.144964,0.002296,0.1594,0.0183,real,other
1700040L02Rik,0.116638,0.364593,0.6649,0.1597,real,other
Cdk1,0.181328,0.251676,0.6005,0.1149,real,target
Phyhipl,0.023175,0.126672,0.3677,0.0132,real,other
Bicc1,0.166408,-0.039083,0.1977,0.0265,complex,other
Tfam,-0.206526,0.390100,0.7363,0.2553,real,other
Ube2d1,0.239382,0.131455,0.5015,0.0918,real,other
Cisd1,0.364442,0.031351,0.4363,0.1192,real,other
1700049L16Rik,-0.268581,0.181263,0.5807,0.1431,real,other
Rsph14,0.030510,0.012721,0.1291,0.0003,real,other
Gucd1,0.287566,0.290421,0.7015,0.2825,real,other
Lrrc75b,-0.176958,0.240933,0.5872,0.0854,real,other
Susd2,-0.354813,-0.023785,0.2651,0.1216,real,other
Cabin1,0.123540,0.175591,0.4853,0.0463,real,other
Ddt,0.664436,-0.186588,0.4320,0.3127,complex,other
Gstt1,0.523023,-0.127298,0.3568,0.2221,complex,other
Gstt4,-0.080704,0.214906,0.5057,0.0552,real,other
Gstt2,0.364048,-0.147852,0.3845,0.1191,complex,other
Mif,0.206629,0.021169,0.2818,0.0254,real,other
Smarcb1,0.340757,0.289761,0.7350,0.2991,real,other
Mmp11,-0.056534,-0.174638,0.4179,0.0326,complex,other
Gm867,-0.547350,-0.257694,0.5076,0.2619,complex,other
Slc5a4b,-0.305060,0.160635,0.5814,0.1543,real,other
Prmt2,-0.010706,0.492147,0.7069,0.2313,real,other
Dip2a,-0.118698,-0.021299,0.1459,0.0108,complex,other
Pcnt,-0.147453,-0.118457,0.3442,0.0278,complex,other
Ybey,0.027877,0.265064,0.5290,0.0707,real,other
Col6a2,0.155259,-0.481955,0.6942,0.2421,complex,other
Col6a1,0.163189,-0.086960,0.2949,0.0228,complex,other
Pcbp3,0.188630,-0.156594,0.3957,0.0450,complex,other
Col18a1,0.745799,-0.217555,0.4664,0.4147,complex,other
Adarb1,0.457802,0.159491,0.6892,0.3202,real,other
Fam207a,0.091261,0.040842,0.2528,0.0103,real,other
Krtap10-4,0.015801,0.119813,0.3541,0.0053,real,other
Lrrc3,1.129579,-0.528582,0.7270,0.6555,complex,other
Trpm2,-0.431832,-0.193591,0.4400,0.1542,complex,other
Pfkl,0.134475,0.359392,0.6705,0.1605,real,other
Aire,-0.106974,0.401289,0.6892,0.1575,real,other
D10Jhu81e,-0.054583,0.167456,0.4374,0.0290,real,other
Pwp2,0.225585,-0.207958,0.4560,0.0716,complex,other
Trappc10,-0.219892,0.117450,0.4699,0.0750,real,other
Agpat3,-0.240863,0.386224,0.7535,0.2792,real,other
Rrp1,-0.379297,0.057783,0.4958,0.1735,real,other
Pdxk,1.094135,-0.388581,0.6234,0.6477,complex,other
Gm9978,-0.070813,0.235272,0.5217,0.0613,real,other
Syde1,-0.461174,-0.214803,0.4635,0.1804,complex,other
Olfr1357,0.059595,-0.024543,0.1567,-0.0110,complex,other
Casp14,-0.246180,-0.056155,0.2370,0.0549,complex,other
Ccdc105,0.134316,-0.060944,0.2469,-0.0127,complex,other
Olfr1356,-0.098078,0.179324,0.4753,0.0452,real,other
2610008E11Rik,0.213639,0.292538,0.6581,0.1719,real,other
Plpp2,0.563715,0.095790,0.7005,0.4123,real,other
Mier2,0.034255,0.048180,0.2373,0.0029,real,other
Theg,0.012164,-0.123737,0.3518,0.0148,complex,other
C2cd4c,-0.035315,0.100364,0.3350,0.0109,real,other
Shc2,-0.002871,0.174825,0.4196,0.0287,real,other
Odf3l2,-0.097511,0.236081,0.5371,0.0536,real,other
Polrmt,-0.271958,-0.299324,0.5471,0.1292,complex,other
Rnf126,0.021069,0.393477,0.6379,0.1286,real,other
Prss57,0.001080,-0.023495,0.1533,0.0004,complex,other
Plppr3,-0.149582,0.072444,0.3541,0.0307,real,other
Med16,0.287585,0.241146,0.6555,0.1687,real,other
R3hdm4,-0.112484,0.073888,0.3338,0.0058,real,other
Tmem259,0.195184,0.362797,0.7078,0.2204,real,other
Polr2e,0.641895,-0.114660,0.3386,0.3316,complex,other
Sbno2,0.369014,0.097310,0.5469,0.1829,real,other
Cbarp,-0.222750,0.109902,0.4611,0.0824,real,other
Gamt,-0.210754,0.015524,0.2686,0.0456,real,other
2310011J03Rik,0.617300,-0.539329,0.7344,0.3294,complex,other
Pcsk4,0.379709,0.139784,0.6092,0.2171,real,other
Adamtsl5,0.026001,-0.248604,0.4986,0.0535,complex,other
Mex3d,0.248801,-0.172644,0.4155,0.0686,complex,other
Mbd3,0.508605,-0.087343,0.2955,0.2004,complex,other
Tcf3,0.232336,0.003209,0.2454,0.0534,real,other
Atp8b3,-0.244880,0.504946,0.8435,0.3712,real,other
Rexo1,0.154703,0.144393,0.4651,0.0524,real,other
Klf16,0.267632,0.355320,0.7447,0.2599,real,other
Abhd17a,0.072226,0.080778,0.3226,0.0080,real,other
Btbd2,0.087917,0.047076,0.2653,0.0099,real,other
Mknk2,0.584538,0.018831,0.6151,0.3575,real,other
Mob3a,0.328911,-0.101705,0.3189,0.0843,complex,other
Ap3d1,0.324084,0.139808,0.5696,0.1537,real,other
Plekhj1,0.165007,0.329804,0.6627,0.1601,real,other
Jsrp1,-0.046804,-0.194679,0.4412,0.0380,complex,other
Lingo3,-0.221916,0.244531,0.6178,0.1359,real,other
Timm13,0.213625,-0.458142,0.6769,0.2196,complex,other
Lmnb2,0.281066,-0.024826,0.1576,0.0779,complex,other
Gng7,-0.058872,0.423043,0.6805,0.1502,real,other
Diras1,0.052353,-0.481885,0.6942,0.1713,complex,other
Slc39a3,0.369610,-0.233501,0.4832,0.1438,complex,other
Sgta,-0.292345,0.179453,0.5943,0.1594,real,other
Creb3l3,-0.254523,0.152352,0.5378,0.1017,real,other
Pias4,0.186322,0.366762,0.7059,0.2219,real,other
4930442H23Rik,-0.113998,-0.094559,0.3075,0.0186,complex,other
Nmrk2,-0.004905,0.192516,0.4412,0.0331,real,other
Atcay,0.125045,0.045816,0.2855,0.0192,real,other
Mrpl54,-0.234696,0.341429,0.7133,0.2258,real,other
Tjp3,1.055894,-0.374142,0.6117,0.6366,complex,other
Gipc3,0.034698,0.259051,0.5266,0.0574,real,other
Hmg20b,0.355946,-0.195772,0.4425,0.1202,complex,other
4930404N11Rik,0.041333,-0.018623,0.1365,-0.0011,complex,other
Fzr1,-0.044928,0.346349,0.6114,0.1267,real,other
Nfic,0.849405,-0.201822,0.4492,0.4546,complex,other
